dataset,strategy,seed,accuracy,log_loss,macro_f1,balanced_acc,mcc,pr_auc,macro_auc,top2_accuracy,n_classes
connect-4,prototype,2,0.7284,0.6589847139622265,0.5195756277889784,0.5368356130180357,0.44334158203247714,0.6086601563603645,0.8185348922484174,0.8992,3
connect-4,stratified_coreset,2,0.7467,0.6194135165983343,0.47417008257732673,0.4810733972113633,0.4233584579925151,0.6025207726270055,0.8122177671543273,0.913,3
connect-4,random,3,0.7858,0.5298365271393116,0.5311605670864555,0.5411184066336943,0.5299072666265562,0.6730895351554352,0.872649978626463,0.9252,3
connect-4,stratified,3,0.7795,0.5397701172465691,0.5309027473988747,0.5401019601516187,0.5166178586410045,0.6675466918649514,0.868724063521476,0.9231,3
connect-4,coreset,3,0.7785,0.5428444893049733,0.5245807398553387,0.5448699717657106,0.5206750548245372,0.6591575292373147,0.864519340506081,0.9209,3
connect-4,prototype,3,0.7192,0.6730083345604364,0.5454200730717823,0.5583609543108805,0.4458876981964151,0.6091412352769003,0.8191097018971206,0.9003,3
connect-4,stratified_coreset,3,0.7637,0.5948914079800018,0.5001901507390288,0.5153624370907695,0.475199204879069,0.6228802394282026,0.8329639819678653,0.9117,3
connect-4,random,4,0.7816,0.5330335599813245,0.5166192349981298,0.5317593236822352,0.5188539458248863,0.6634320029409122,0.8678931870683083,0.9222,3
connect-4,stratified,4,0.7848,0.5303528900384891,0.5202592076911187,0.5354985540287706,0.5266713222347346,0.6651403128275435,0.8694264002111369,0.9244,3
connect-4,coreset,4,0.7904,0.5208986750786537,0.5314485801128409,0.5483900190167984,0.5432233177389275,0.6709951478392707,0.8743576889420157,0.9205,3
connect-4,prototype,4,0.7343,0.6487688975822872,0.5510499343079747,0.5647109431565327,0.47275999325264545,0.6277725398366584,0.8308381180138121,0.9004,3
connect-4,stratified_coreset,4,0.7615,0.5834342235248168,0.49207906466512985,0.49950094646382365,0.4633868231985918,0.6299145632104947,0.8388056953966424,0.914,3
covertype,random,1,0.8398,0.3980328159518022,0.7300137913761363,0.691952168413051,0.7433121059694648,0.8118708937561305,0.977992545572412,0.9815,7
covertype,stratified,1,0.8367,0.39339744314918584,0.7343168995955309,0.6982676242645922,0.7393758406893467,0.8246335110705945,0.9778597634812011,0.9846,7
covertype,coreset,1,0.8218,0.43255590763917035,0.7448234646112596,0.7330867226583779,0.7127379619405443,0.8297482076392331,0.971469656196371,0.9835,7
covertype,stratified_coreset,1,0.7899,0.4778764820538059,0.5226052962468959,0.48135867630001966,0.6531610792436088,0.7681176009030647,0.9690343768427966,0.9789,7
covertype,random,2,0.8505,0.3809857771018668,0.7236941575061321,0.6822251588646403,0.7578722835100293,0.8141017621357537,0.9795424327845944,0.9862,7
covertype,stratified,2,0.8066,0.49091480208707017,0.6428792544783036,0.627517195889298,0.6862474364009308,0.7605127639310538,0.9669487888197198,0.9821,7
covertype,coreset,2,0.8261,0.4305837271733508,0.7227676180323112,0.6887664561600071,0.7187991231527721,0.8034871263865417,0.972048756153351,0.9842,7
covertype,stratified_coreset,2,0.7831,0.4938662441174888,0.47414760056575667,0.4499979538273748,0.6402150989285059,0.729778555626077,0.966161535019127,0.9767,7
covertype,random,3,0.8363,0.4007683074166354,0.7224224526640505,0.6998350834104671,0.735663522275609,0.8118032078741291,0.9757279843134085,0.9844,7
covertype,stratified,3,0.8564,0.36809536437099316,0.7412731232374277,0.7065075885403103,0.7679823445322619,0.8218076131698255,0.9791818416657357,0.9845,7
covertype,coreset,3,0.8249,0.4312898440917639,0.7346274227781178,0.7063259788633166,0.7163507860738344,0.8062363891445764,0.9721456216433534,0.9843,7
covertype,stratified_coreset,3,0.7868,0.49958768422368777,0.47146471055381334,0.4490794085522101,0.6481268082900473,0.7244202560297062,0.9685507308438831,0.9769,7
covertype,random,4,0.8485,0.3836450687367311,0.7158879987688586,0.6700473605835396,0.7541407557104515,0.8176381382060266,0.978690528652271,0.9845,7
covertype,stratified,4,0.8484,0.3801888485239284,0.7331278233615864,0.6957353473040758,0.7540942928477793,0.8060083365520399,0.9783791404135912,0.9853,7
covertype,coreset,4,0.8343,0.43485497085218194,0.754225000156955,0.7124990829406398,0.731453994114251,0.8236201542223954,0.9721923875900591,0.9853,7
covertype,stratified_coreset,4,0.788,0.49315343374474413,0.45622628656593855,0.43801591864359096,0.6490308333033994,0.7199642517153076,0.9682209822342911,0.9739,7
higgs,random,1,0.7099,0.5505822696840833,0.7087180682182284,0.7085747030564482,0.41749641398590226,0.8049173901135742,0.7881354129695703,,2
higgs,stratified,1,0.7071,0.5577743718139624,0.7056701189481609,0.7054211852507508,0.4115625022818963,0.8000618899434888,0.7839161482103606,,2
higgs,coreset,1,0.6917,0.5763847221822699,0.6888383050119167,0.6884670741117618,0.3797729368795992,0.7767329326111966,0.7631608602289314,,2
higgs,prototype,1,0.6814,0.5853475014698499,0.6813668494070123,0.6842221052528505,0.3689535236179663,0.7861550709645093,0.7557333987634101,,2
higgs,stratified_coreset,1,0.6652,0.5920541896779523,0.6385360476728199,0.6517970556786516,0.3468093068150981,0.7789792167912383,0.764428889016239,,2
